FIPS,county,cqr_census_2010_count,july1_2018_pop_est,jan1_2019_pop_est,num_chg_10_18,num_chg_10_19,pct_chg_10_18,pct_chg_10_19
373,Polk,45413,49556,49856,4143,4443,9.1,9.8
375,Potter,121073,117191,116744,-3882,-4329,-3.2,-3.6
377,Presidio,7818,7030,7014,-788,-804,-10.1,-10.3
379,Rains,10914,12259,12641,1345,1727,12.3,15.8
381,Randall,120725,139785,142446,19060,21721,15.8,18.0
383,Reagan,3367,3733,3756,366,389,10.9,11.6
385,Real,3309,3569,3600,260,291,7.9,8.8
387,Red River,12860,11971,12071,-889,-789,-6.9,-6.1
389,Reeves,13783,15672,15853,1889,2070,13.7,15.0
391,Refugio,7383,6944,6817,-439,-566,-5.9,-7.7
393,Roberts,929,891,872,-38,-57,-4.1,-6.1
395,Robertson,16622,17896,17937,1274,1315,7.7,7.9
397,Rockwall,78337,98492,97807,20155,19470,25.7,24.9
399,Runnels,10501,9938,9693,-563,-808,-5.4,-7.7
401,Rusk,53330,54042,53959,712,629,1.3,1.2
403,Sabine,10834,11038,11138,204,304,1.9,2.8
405,San Augustine,8865,8562,8656,-303,-209,-3.4,-2.4
407,San Jacinto,26384,29190,29507,2806,3123,10.6,11.8
409,San Patricio,64804,65920,65960,1116,1156,1.7,1.8
411,San Saba,6131,6246,6224,115,93,1.9,1.5
413,Schleicher,3461,3030,3099,-431,-362,-12.5,-10.5
415,Scurry,16921,17049,17129,128,208,0.8,1.2
417,Shackelford,3378,3314,3263,-64,-115,-1.9,-3.4
419,Shelby,25448,24609,24624,-839,-824,-3.3,-3.2
421,Sherman,3034,3086,3116,52,82,1.7,2.7
423,Smith,209714,229523,230086,19809,20372,9.4,9.7
425,Somervell,8490,9477,9604,987,1114,11.6,13.1
427,Starr,60968,63649,63406,2681,2438,4.4,4.0
429,Stephens,9630,9639,9703,9,73,0.1,0.8
431,Sterling,1143,1291,1294,148,151,12.9,13.2
433,Stonewall,1490,1387,1409,-103,-81,-6.9,-5.4
435,Sutton,4128,3745,3745,-383,-383,-9.3,-9.3
437,Swisher,7854,7430,7421,-424,-433,-5.4,-5.5
439,Tarrant,1809034,2052267,2064380,243233,255346,13.4,14.1
441,Taylor,131506,138849,138849,7343,7343,5.6,5.6
443,Terrell,984,832,843,-152,-141,-15.4,-14.3
445,Terry,12651,12553,12478,-98,-173,-0.8,-1.4
447,Throckmorton,1641,1531,1525,-110,-116,-6.7,-7.1
449,Titus,32334,33880,33793,1546,1459,4.8,4.5
451,Tom Green,110224,117490,117278,7266,7054,6.6,6.4
453,Travis,1024266,1248631,1260620,224365,236354,21.9,23.1
455,Trinity,14585,14663,14643,78,58,0.5,0.4
457,Tyler,21766,22437,22474,671,708,3.1,3.3
459,Upshur,39309,41066,40998,1757,1689,4.5,4.3
461,Upton,3355,3706,3743,351,388,10.5,11.6
463,Uvalde,26405,27768,27691,1363,1286,5.2,4.9
465,Val Verde,48879,50560,50624,1681,1745,3.4,3.6
467,Van Zandt,52579,56092,56596,3513,4017,6.7,7.6
469,Victoria,86793,92025,92059,5232,5266,6.0,6.1
471,Walker,67861,74359,75055,6498,7194,9.6,10.6
473,Waller,43205,53305,54349,10100,11144,23.4,25.8
475,Ward,10658,11322,11372,664,714,6.2,6.7
477,Washington,33718,35711,35801,1993,2083,5.9,6.2
479,Webb,250304,280945,281964,30641,31660,12.2,12.6
481,Wharton,41280,41093,41141,-187,-139,-0.5,-0.3
483,Wheeler,5410,5201,5059,-209,-351,-3.9,-6.5
485,Wichita,131500,133296,133814,1796,2314,1.4,1.8
487,Wilbarger,13535,12615,12548,-920,-987,-6.8,-7.3
489,Willacy,22134,21691,21475,-443,-659,-2.0,-3.0
491,Williamson,422679,563041,571610,140362,148931,33.2,35.2
493,Wilson,42918,50755,51077,7837,8159,18.3,19.0
495,Winkler,7110,7685,7696,575,586,8.1,8.2
497,Wise,59127,68690,69647,9563,10520,16.2,17.8
499,Wood,41964,44985,45229,3021,3265,7.2,7.8
501,Yoakum,7879,8928,9109,1049,1230,13.3,15.6
503,Young,18550,18501,18304,-49,-246,-0.3,-1.3
505,Zapata,14018,14015,13903,-3,-115,-0.0,-0.8
507,Zavala,11677,12199,12338,522,661,4.5,5.7
509,State of Texas,25145565,28702243,28901062,3556678,3755497,14.1,14.9
