County,WHITE,BLACK,HISPANIC,OTHER,TOTAL
WALLER,205,69,22,3,299
WARD,73,4,34,0,111
WASHINGTON,322,47,12,2,383
WEBB,46,3,1174,7,1230
WHARTON,282,81,72,2,437
WHEELER,71,0,3,1,75
WICHITA,1136,99,99,15,1349
WILBARGER,135,5,15,2,157
WILLACY,22,3,145,0,170
WILLIAMSON,1867,90,183,55,2195
WILSON,249,9,85,2,345
WINKLER,38,2,23,0,63
WISE,468,2,9,0,479
WOOD,569,25,6,5,605
YOAKUM,46,1,13,1,61
YOUNG,259,2,11,1,273
ZAPATA,11,0,78,1,90
ZAVALA,7,0,78,0,85
